station_name,restaurant_name,distance,address,categories,rating,review_count
377 - Metro Abrantes,IGo Pasta,1465.9680461525684,No address,"Chinese, Asian Fusion, Ramen",3.8,23
377 - Metro Abrantes,Botafumeiro,769.9474556429477,No address,"Tapas Bars, Dive Bars, Spanish",4.3,9
377 - Metro Abrantes,Lurca,53.496441272891936,No address,Restaurants,0.0,0
377 - Metro Abrantes,Canaletto,269.76916166405863,No address,"Rotisserie Chicken, Pizza",4.5,2
377 - Metro Abrantes,Cafetería Bar Dayton,209.5218460548712,No address,Cafeteria,5.0,1
377 - Metro Abrantes,La Piazzola,611.5500514860145,No address,"Burgers, Pizza, Sandwiches",4.7,3
377 - Metro Abrantes,Doña Patata,799.6254747234262,No address,"Tapas Bars, Spanish",4.6,5
377 - Metro Abrantes,Burger King,51.55754805229473,No address,American,0.0,0
377 - Metro Abrantes,El Cuadro,623.1492340268287,No address,Spanish,5.0,2
377 - Metro Abrantes,Gran Nemrut,871.0649798939662,No address,"Kebab, Middle Eastern, Pizza",3.8,5
377 - Metro Abrantes,El Rincón de Lola,743.2693542945663,No address,Tapas Bars,4.5,2
377 - Metro Abrantes,Asador Ricardo,1691.6298050021132,No address,Steakhouses,4.0,1
377 - Metro Abrantes,Arrocería Da' Gusto,820.8744707344423,No address,"Tapas/Small Plates, Arroceria / Paella",4.5,2
377 - Metro Abrantes,El Secreto de Dora,1157.225801875996,No address,"Spanish, Tapas Bars",3.8,4
377 - Metro Abrantes,Delgado,312.6403615458306,No address,"Desserts, Bakeries, Cafeteria",4.0,1
377 - Metro Abrantes,Apolo XIII,1195.9931019823832,No address,"Tapas Bars, Spanish",5.0,3
377 - Metro Abrantes,Gabri,1194.5041368822826,No address,"Spanish, Romanian",0.0,0
377 - Metro Abrantes,La Colonia Peruana,1936.4804711123224,No address,Peruvian,4.5,2
377 - Metro Abrantes,Telepizza,433.13620066128817,No address,Pizza,3.5,2
377 - Metro Abrantes,Anjor,454.0354559712825,No address,Spanish,5.0,2
507 - Seis - Sexta,La Bekada,346.7353128338655,No address,"Spanish, Steakhouses",3.5,14
507 - Seis - Sexta,Tommy Mel's,817.1225905738007,No address,"Burgers, American",3.0,12
507 - Seis - Sexta,La Casona,188.1596942988748,No address,Restaurants,3.5,2
507 - Seis - Sexta,El Llagar de Covadonga,1358.3021613868675,No address,"Spanish, Asturian",4.2,5
